Entity,Year,Estimated maternal deaths
Rwanda,2019,1111.1779
Rwanda,2020,1033.1093
Saint Lucia,2016,1.2830874
Saint Lucia,2017,1.2704035
Saint Lucia,2018,1.224165
Saint Lucia,2019,1.440742
Saint Lucia,2020,1.4653596
Saint Vincent and the Grenadines,2016,0.7023216
Saint Vincent and the Grenadines,2017,0.6959231
Saint Vincent and the Grenadines,2018,0.5986605
Saint Vincent and the Grenadines,2019,0.6547133
Saint Vincent and the Grenadines,2020,0.6179403
Samoa,2016,3.4367328
Samoa,2017,3.5155132
Samoa,2018,3.4848585
Samoa,2019,3.981118
Samoa,2020,3.5447445
Sao Tome and Principe,2016,9.865735
Sao Tome and Principe,2017,8.610583
Sao Tome and Principe,2018,8.949384
Sao Tome and Principe,2019,8.544752
Sao Tome and Principe,2020,8.774404
Saudi Arabia,2016,102.843445
Saudi Arabia,2017,105.92637
Saudi Arabia,2018,109.56447
Saudi Arabia,2019,116.525826
Saudi Arabia,2020,107.91703
Senegal,2016,1435.4077
Senegal,2017,1443.9635
Senegal,2018,1467.9135
Senegal,2019,1380.7976
Senegal,2020,1416.5818
Serbia,2016,8.478551
Serbia,2017,8.4035225
Serbia,2018,7.913968
Serbia,2019,7.329875
Serbia,2020,7.025121
Seychelles,2016,0.10269462
Seychelles,2017,0.09252313
Seychelles,2018,0.07080642
Seychelles,2019,0.061462495
Seychelles,2020,0.06666419
Sierra Leone,2016,1287.524
Sierra Leone,2017,1342.3324
Sierra Leone,2018,1194.7123
Sierra Leone,2019,1140.318
Sierra Leone,2020,1164.644
Singapore,2016,2.9626827
Singapore,2017,2.8043785
Singapore,2018,2.6683633
Singapore,2019,2.4989235
Singapore,2020,3.0556326
Slovakia,2016,2.9154737
Slovakia,2017,2.779892
Slovakia,2018,2.6971037
Slovakia,2019,2.7681491
Slovakia,2020,2.701813
Slovenia,2016,0.97301435
Slovenia,2017,0.9312165
Slovenia,2018,0.8732352
Slovenia,2019,0.6935544
Slovenia,2020,0.86129737
Solomon Islands,2016,26.546999
Solomon Islands,2017,26.67398
Solomon Islands,2018,26.700085
Solomon Islands,2019,26.7082
Solomon Islands,2020,25.672398
Somalia,2016,4670.5264
Somalia,2017,4611.9224
Somalia,2018,4509.1953
Somalia,2019,4310.352
Somalia,2020,4518.5674
South Africa,2016,1460.9258
South Africa,2017,1561.1924
South Africa,2018,1519.8179
South Africa,2019,1461.8221
South Africa,2020,1515.6506
South America,2016,4666.0776
South America,2017,4710.4663
South America,2018,4616.8564
South America,2019,4602.026
South America,2020,5246.5093
South Korea,2016,24.336395
South Korea,2017,22.327776
South Korea,2018,21.094858
South Korea,2019,19.461739
South Korea,2020,23.85993
South Sudan,2016,5151.652
South Sudan,2017,4493.3394
South Sudan,2018,4053.918
South Sudan,2019,3772.867
South Sudan,2020,3789.846
Spain,2016,15.589672
Spain,2017,15.447895
Spain,2018,14.9204855
Spain,2019,11.245304
Spain,2020,12.113205
Sri Lanka,2016,99.250946
Sri Lanka,2017,100.11746
Sri Lanka,2018,96.93095
Sri Lanka,2019,93.936066
Sri Lanka,2020,89.41115
Sudan,2016,4274.548
Sudan,2017,4194.0073
Sudan,2018,4333.3496
Sudan,2019,4487.67
Sudan,2020,4112.105
Suriname,2016,11.575805
Suriname,2017,10.915808
Suriname,2018,10.738935
Suriname,2019,11.004011
Suriname,2020,10.61055
Sweden,2016,5.1748915
Sweden,2017,5.1893616
Sweden,2018,5.214979
Sweden,2019,5.163244
Sweden,2020,5.04878
Switzerland,2016,7.0090785
Switzerland,2017,5.3453946
Switzerland,2018,6.4683347
Switzerland,2019,6.109903
Switzerland,2020,6.4195166
Syria,2016,103.57621
Syria,2017,108.39917
Syria,2018,108.40624
Syria,2019,123.91757
Syria,2020,121.46434
Tajikistan,2016,52.261845
Tajikistan,2017,46.94409
Tajikistan,2018,45.46217
Tajikistan,2019,43.2098
Tajikistan,2020,43.741367
Tanzania,2016,6206.951
Tanzania,2017,5999.997
Tanzania,2018,5819.387
Tanzania,2019,5823.564
Tanzania,2020,5390.319
Thailand,2016,210.06337
Thailand,2017,203.12572
Thailand,2018,197.88628
Thailand,2019,192.93944
Thailand,2020,187.61885
Togo,2016,1145.2567
Togo,2017,1123.1343
Togo,2018,1160.2261
Togo,2019,1129.3094
Togo,2020,1089.3788
Tonga,2016,2.531363
Tonga,2017,2.5196128
Tonga,2018,2.5173948
Tonga,2019,2.508013
Tonga,2020,2.5127528
Trinidad and Tobago,2016,5.8857203
Trinidad and Tobago,2017,5.4124804
Trinidad and Tobago,2018,5.2463164
Trinidad and Tobago,2019,5.0056853
Trinidad and Tobago,2020,4.78494
Tunisia,2016,83.10592
Tunisia,2017,82.83143
Tunisia,2018,82.727455
Tunisia,2019,82.82292
Tunisia,2020,73.98368
Turkey,2016,281.17334
Turkey,2017,241.27065
Turkey,2018,230.64284
Turkey,2019,221.62633
Turkey,2020,219.25069
Turkmenistan,2016,8.461492
Turkmenistan,2017,7.3283954
Turkmenistan,2018,7.251186
Turkmenistan,2019,6.980435
Turkmenistan,2020,7.155836
Uganda,2016,4654.692
Uganda,2017,4808.575
Uganda,2018,4476.487
Uganda,2019,4712.9297
Uganda,2020,4699.6885
Ukraine,2016,47.332523
Ukraine,2017,44.030384
Ukraine,2018,43.40584
Ukraine,2019,32.78508
Ukraine,2020,56.07185
United Arab Emirates,2016,8.254771
United Arab Emirates,2017,8.247997
United Arab Emirates,2018,8.322958
United Arab Emirates,2019,8.488856
United Arab Emirates,2020,9.247294
United Kingdom,2016,66.23264
United Kingdom,2017,64.48703
United Kingdom,2018,67.31935
United Kingdom,2019,65.39534
United Kingdom,2020,66.83044
United States,2016,729.9634
United States,2017,740.84
United States,2018,739.568
United States,2019,745.85266
United States,2020,773.81604
Upper-middle-income countries,2016,24358.018
Upper-middle-income countries,2017,23927.291
Upper-middle-income countries,2018,22106.713
Upper-middle-income countries,2019,20669.66
Upper-middle-income countries,2020,21973.732
Uruguay,2016,8.152824
Uruguay,2017,7.053134
Uruguay,2018,7.2255774
Uruguay,2019,7.4261503
Uruguay,2020,6.5234265
Uzbekistan,2016,220.16113
Uzbekistan,2017,216.58507
Uzbekistan,2018,239.54066
Uzbekistan,2019,239.60716
Uzbekistan,2020,251.08507
Vanuatu,2016,8.480613
Vanuatu,2017,8.486219
Vanuatu,2018,8.692412
Vanuatu,2019,8.349955
Vanuatu,2020,8.499853
Venezuela,2016,878.4375
Venezuela,2017,1001.65393
Venezuela,2018,975.56464
Venezuela,2019,877.3384
Venezuela,2020,1207.8088
Vietnam,2016,786.2224
Vietnam,2017,779.8738
Vietnam,2018,769.49
Vietnam,2019,756.5465
Vietnam,2020,677.48676
World,2016,307844.4
World,2017,303369.56
World,2018,299547.8
World,2019,295773.7
World,2020,286062.78
Yemen,2016,1678.7983
Yemen,2017,1764.1555
Yemen,2018,1747.5267
Yemen,2019,1818.7615
Yemen,2020,1852.3372
Zambia,2016,969.42957
Zambia,2017,986.3616
Zambia,2018,931.5215
Zambia,2019,840.0372
Zambia,2020,891.4851
Zimbabwe,2016,1918.836
Zimbabwe,2017,1762.2927
Zimbabwe,2018,1735.157
Zimbabwe,2019,1906.905
Zimbabwe,2020,1733.8484
